,battery,glass,metal,organic,paper,plastic
battery,117,0,0,0,0,0
glass,117,0,0,0,0,0
metal,117,0,0,0,0,0
organic,117,0,0,0,0,0
paper,117,0,0,0,0,0
plastic,117,0,0,0,0,0
