phase,epoch,loss,accuracy,val_loss,val_accuracy
head,1,0.7940040230751038,0.7506150007247925,0.359646201133728,0.8965517282485962
head,2,0.3646698594093323,0.8945264220237732,0.25544244050979614,0.920976996421814
head,3,0.2886596620082855,0.9095941185951233,0.21589553356170654,0.9468390941619873
head,4,0.24689698219299316,0.9234317541122437,0.19451415538787842,0.9454023241996765
head,5,0.2302524745464325,0.9231242537498474,0.17698189616203308,0.9454023241996765
head,6,0.19547800719738007,0.9421893954277039,0.16898639500141144,0.9468390941619873
head,7,0.1826222538948059,0.9431119561195374,0.16120409965515137,0.9482758641242981
head,8,0.17501352727413177,0.9388068914413452,0.155027374625206,0.9482758641242981
head,9,0.16378098726272583,0.9489544630050659,0.150839701294899,0.9554597735404968
head,10,0.14981380105018616,0.9547970294952393,0.14551348984241486,0.954023003578186
fine_tune,1,0.4004318118095398,0.875768780708313,0.17319773137569427,0.9454023241996765
fine_tune,2,0.33793267607688904,0.8945264220237732,0.19886918365955353,0.9396551847457886
fine_tune,3,0.2726346254348755,0.9234317541122437,0.20213258266448975,0.9396551847457886
fine_tune,4,0.27526208758354187,0.9142066240310669,0.2080668956041336,0.9410919547080994
fine_tune,5,0.2677336037158966,0.9194341897964478,0.20814184844493866,0.9425287246704102
fine_tune,6,0.25341546535491943,0.9237392544746399,0.20953437685966492,0.943965494632721
